ProductID,Product,Category,ProductionSource,Units_Sold
P10217,Phone,Electronics,Manufacturing,3647
P10218,Car,Transport,Transport,1156
P10219,Plastic Wrap,Packaging,Manufacturing,1873
P10220,Flight,Transport,Transport,1905
P10221,Laptop,Electronics,Local Supplier,4867
P10222,Conventional Cotton,Textile,Transport,2462
P10223,Conventional Cotton,Textile,Local Supplier,269
P10224,Bottle,Plastic,Transport,694
P10225,Cream,Dairy,Local Supplier,562
P10226,Beef,Food,Import,3218
P10227,Chicken,Food,Cold Chain,4413
P10228,Styrofoam,Packaging,Warehouse Distribution,3981
P10229,Butter,Dairy,Import,1833
P10230,Monitor,Electronics,Warehouse Distribution,3741
P10231,Styrofoam,Packaging,Transport,4118
P10232,Styrofoam,Packaging,Warehouse Distribution,1702
P10233,Styrofoam,Packaging,Import,1597
P10234,Processed Food,Food,Cold Chain,4263
P10235,Phone,Electronics,Transport,827
P10236,Processed Food,Food,Local Supplier,3239
P10237,Cutlery,Plastic,Manufacturing,931
P10238,Polyester,Textile,Manufacturing,1943
P10239,Laptop,Electronics,Cold Chain,3762
P10240,Straw,Plastic,Warehouse Distribution,60
P10241,Lamb,Food,Transport,4644
P10242,Car,Transport,Manufacturing,2466
P10243,Polyester,Textile,Warehouse Distribution,3108
P10244,Packaging,Plastic,Cold Chain,2455
P10245,Phone,Electronics,Cold Chain,320
P10246,Straw,Plastic,Local Supplier,4666
P10247,Milk,Dairy,Cold Chain,3792
P10248,Car,Transport,Transport,3561
P10249,Plastic Wrap,Packaging,Cold Chain,61
P10250,Cream,Dairy,Local Supplier,4931
P10251,Cutlery,Plastic,Local Supplier,2689
P10252,Beef,Food,Manufacturing,188
P10253,Car,Transport,Warehouse Distribution,3572
P10254,Phone,Electronics,Warehouse Distribution,2201
P10255,Bottle,Plastic,Local Supplier,4518
P10256,Polyester,Textile,Import,3377
P10257,Car,Transport,Warehouse Distribution,1583
P10258,Laptop,Electronics,Warehouse Distribution,4518
P10259,Plastic Wrap,Packaging,Local Supplier,3938
P10260,Car,Transport,Import,3495
P10261,Beef,Food,Local Supplier,2779
P10262,Nylon,Textile,Transport,2108
P10263,Car,Transport,Manufacturing,4830
P10264,Monitor,Electronics,Import,4925
P10265,Plastic Wrap,Packaging,Import,339
P10266,Butter,Dairy,Warehouse Distribution,991
P10267,Processed Food,Food,Manufacturing,4775
P10268,Laptop,Electronics,Transport,559
P10269,Bag,Plastic,Transport,4441
P10270,Phone,Electronics,Import,374
P10271,Laptop,Electronics,Local Supplier,1823
P10272,Cutlery,Plastic,Warehouse Distribution,3296
P10273,Phone,Electronics,Import,3086
P10274,Pork,Food,Manufacturing,4042
P10275,Plastic Wrap,Packaging,Import,4631
P10276,Plastic Wrap,Packaging,Manufacturing,234
P10277,Monitor,Electronics,Local Supplier,2370
P10278,Pork,Food,Transport,4107
P10279,Car,Transport,Cold Chain,777
P10280,Cheese,Dairy,Import,1832
P10281,Phone,Electronics,Local Supplier,4035
P10282,Laptop,Electronics,Transport,2705
P10283,Phone,Electronics,Transport,4773
P10284,Yogurt,Dairy,Transport,4241
P10285,Car,Transport,Cold Chain,1931
P10286,Conventional Cotton,Textile,Manufacturing,2088
P10287,Milk,Dairy,Import,4984
P10288,Flight,Transport,Transport,429
P10289,Bottle,Plastic,Cold Chain,730
P10290,Packaging,Plastic,Warehouse Distribution,2867
P10291,Laptop,Electronics,Import,3672
P10292,Bottle,Plastic,Manufacturing,4925
P10293,Cheese,Dairy,Cold Chain,936
P10294,Nylon,Textile,Local Supplier,4849
P10295,Milk,Dairy,Transport,84
P10296,Flight,Transport,Warehouse Distribution,3221
P10297,Cheese,Dairy,Import,4988
P10298,Cream,Dairy,Transport,3858
P10299,Bag,Plastic,Import,1099
P10300,Conventional Cotton,Textile,Transport,738
P10301,Yogurt,Dairy,Manufacturing,3127
P10302,Butter,Dairy,Transport,2866
P10303,Plastic Wrap,Packaging,Warehouse Distribution,3496
P10304,Car,Transport,Import,4727
P10305,Butter,Dairy,Transport,2591
P10306,Car,Transport,Cold Chain,912
P10307,Flight,Transport,Cold Chain,1764
P10308,Packaging,Plastic,Import,544
P10309,Straw,Plastic,Import,2350
P10310,Plastic Wrap,Packaging,Cold Chain,225
P10311,Phone,Electronics,Warehouse Distribution,947
P10312,Packaging,Plastic,Cold Chain,773
P10313,Flight,Transport,Local Supplier,1989
P10314,Laptop,Electronics,Cold Chain,2645
P10315,Beef,Food,Transport,3832
P10316,Conventional Cotton,Textile,Local Supplier,1147
P10317,Nylon,Textile,Import,2847
P10318,Car,Transport,Manufacturing,3426
P10319,Laptop,Electronics,Local Supplier,523
P10320,Plastic Wrap,Packaging,Transport,165
P10321,Monitor,Electronics,Local Supplier,3853
P10322,Butter,Dairy,Import,4833
P10323,Processed Food,Food,Transport,2090
P10324,Styrofoam,Packaging,Manufacturing,3958
P10325,Chicken,Food,Local Supplier,2165
P10326,Yogurt,Dairy,Manufacturing,2133
P10327,Phone,Electronics,Cold Chain,2595
P10328,Car,Transport,Cold Chain,4086
P10329,Lamb,Food,Cold Chain,4167
P10330,Polyester,Textile,Import,48
P10331,Butter,Dairy,Warehouse Distribution,1085
P10332,Styrofoam,Packaging,Warehouse Distribution,321
P10333,Milk,Dairy,Cold Chain,267
P10334,Rayon,Textile,Import,109
P10335,Cream,Dairy,Manufacturing,4742
P10336,Butter,Dairy,Manufacturing,2689
P10337,Laptop,Electronics,Manufacturing,235
P10338,Flight,Transport,Transport,3522
P10339,Polyester,Textile,Cold Chain,3601
P10340,Lamb,Food,Cold Chain,2646
P10341,Styrofoam,Packaging,Transport,4954
P10342,Nylon,Textile,Transport,379
P10343,Bag,Plastic,Cold Chain,3523
P10344,Laptop,Electronics,Warehouse Distribution,1826
P10345,Car,Transport,Manufacturing,2119
P10346,Butter,Dairy,Cold Chain,1218
P10347,Car,Transport,Import,3981
P10348,Car,Transport,Manufacturing,2471
P10349,Car,Transport,Warehouse Distribution,4399
P10350,Straw,Plastic,Manufacturing,2231
P10351,Flight,Transport,Local Supplier,2163
P10352,Plastic Wrap,Packaging,Manufacturing,1409
P10353,Packaging,Plastic,Cold Chain,3040
P10354,Butter,Dairy,Transport,324
P10355,Nylon,Textile,Warehouse Distribution,4324
P10356,Flight,Transport,Cold Chain,272
P10357,Flight,Transport,Import,2793
P10358,Car,Transport,Cold Chain,951
P10359,Chicken,Food,Cold Chain,3812
P10360,Styrofoam,Packaging,Warehouse Distribution,2807
P10361,Beef,Food,Transport,1610
P10362,Laptop,Electronics,Manufacturing,425
P10363,Laptop,Electronics,Transport,1349
P10364,Monitor,Electronics,Transport,3460
P10365,Yogurt,Dairy,Warehouse Distribution,3073
P10366,Laptop,Electronics,Warehouse Distribution,1123
P10367,Laptop,Electronics,Warehouse Distribution,840
P10368,Nylon,Textile,Import,2230
P10369,Flight,Transport,Local Supplier,1059
P10370,Processed Food,Food,Cold Chain,2593
P10371,Straw,Plastic,Import,3168
P10372,Nylon,Textile,Transport,790
P10373,Lamb,Food,Warehouse Distribution,4374
P10374,Bag,Plastic,Local Supplier,3222
P10375,Pork,Food,Manufacturing,553
P10376,Polyester,Textile,Import,179
P10377,Monitor,Electronics,Transport,1784
P10378,Beef,Food,Manufacturing,4170
P10379,Milk,Dairy,Transport,3504
P10380,Laptop,Electronics,Import,3332
P10381,Plastic Wrap,Packaging,Import,2668
P10382,Bag,Plastic,Manufacturing,4613
P10383,Flight,Transport,Import,1549
P10384,Rayon,Textile,Local Supplier,1983
P10385,Conventional Cotton,Textile,Warehouse Distribution,1580
P10386,Rayon,Textile,Cold Chain,3617
P10387,Polyester,Textile,Local Supplier,1459
P10388,Car,Transport,Local Supplier,1135
P10389,Yogurt,Dairy,Warehouse Distribution,259
P10390,Plastic Wrap,Packaging,Import,2358
P10391,Bag,Plastic,Manufacturing,3106
P10392,Chicken,Food,Cold Chain,1061
P10393,Styrofoam,Packaging,Warehouse Distribution,4367
P10394,Flight,Transport,Cold Chain,1246
P10395,Chicken,Food,Warehouse Distribution,607
P10396,Flight,Transport,Import,3148
P10397,Plastic Wrap,Packaging,Cold Chain,72
P10398,Styrofoam,Packaging,Local Supplier,4661
P10399,Flight,Transport,Cold Chain,4221
P10400,Packaging,Plastic,Cold Chain,1978
P10401,Car,Transport,Warehouse Distribution,4861
P10402,Car,Transport,Local Supplier,2184
P10403,Conventional Cotton,Textile,Manufacturing,1700
P10404,Plastic Wrap,Packaging,Local Supplier,164
P10405,Chicken,Food,Cold Chain,122
P10406,Conventional Cotton,Textile,Transport,3556
P10407,Flight,Transport,Transport,4987
P10408,Flight,Transport,Manufacturing,2048
P10409,Packaging,Plastic,Warehouse Distribution,242
P10410,Cheese,Dairy,Warehouse Distribution,4065
P10411,Flight,Transport,Import,521
P10412,Monitor,Electronics,Cold Chain,1563
P10413,Rayon,Textile,Warehouse Distribution,2928
P10414,Beef,Food,Transport,1036
P10415,Bag,Plastic,Warehouse Distribution,513
P10416,Chicken,Food,Warehouse Distribution,3084
P10417,Beef,Food,Import,4697
P10418,Beef,Food,Cold Chain,917
P10419,Butter,Dairy,Warehouse Distribution,2799
P10420,Monitor,Electronics,Manufacturing,2808
P10421,Straw,Plastic,Warehouse Distribution,1292
P10422,Packaging,Plastic,Transport,3383
P10423,Car,Transport,Cold Chain,4121
P10424,Bottle,Plastic,Manufacturing,2883
P10425,Styrofoam,Packaging,Cold Chain,4111
P10426,Flight,Transport,Manufacturing,538
P10427,Chicken,Food,Import,1742
P10428,Phone,Electronics,Import,227
P10429,Beef,Food,Warehouse Distribution,3306
P10430,Straw,Plastic,Warehouse Distribution,428
P10431,Laptop,Electronics,Local Supplier,1278
P10432,Bottle,Plastic,Warehouse Distribution,159
P10433,Styrofoam,Packaging,Transport,2739
P10434,Rayon,Textile,Manufacturing,4831
P10435,Straw,Plastic,Cold Chain,2001
P10436,Chicken,Food,Cold Chain,1244
P10437,Monitor,Electronics,Transport,2792
P10438,Cream,Dairy,Import,4893
P10439,Flight,Transport,Transport,336
P10440,Milk,Dairy,Import,2648
P10441,Pork,Food,Transport,58
P10442,Plastic Wrap,Packaging,Import,3059
P10443,Monitor,Electronics,Warehouse Distribution,3397
P10444,Nylon,Textile,Local Supplier,1866
P10445,Processed Food,Food,Import,1644
P10446,Conventional Cotton,Textile,Warehouse Distribution,3789
P10447,Conventional Cotton,Textile,Manufacturing,1792
P10448,Lamb,Food,Manufacturing,801
P10449,Yogurt,Dairy,Transport,3112
P10450,Lamb,Food,Local Supplier,144
P10451,Monitor,Electronics,Import,3464
P10452,Processed Food,Food,Warehouse Distribution,541
P10453,Flight,Transport,Local Supplier,1241
P10454,Styrofoam,Packaging,Warehouse Distribution,2737
P10455,Monitor,Electronics,Manufacturing,2500
P10456,Pork,Food,Warehouse Distribution,135
P10457,Styrofoam,Packaging,Manufacturing,2034
P10458,Nylon,Textile,Manufacturing,515
P10459,Laptop,Electronics,Cold Chain,735
P10460,Conventional Cotton,Textile,Manufacturing,2053
P10461,Plastic Wrap,Packaging,Import,2506
P10462,Phone,Electronics,Import,1390
P10463,Pork,Food,Import,2403
P10464,Beef,Food,Cold Chain,4581
P10465,Monitor,Electronics,Cold Chain,4795
P10466,Butter,Dairy,Transport,2957
P10467,Chicken,Food,Cold Chain,2045
P10468,Styrofoam,Packaging,Transport,1418
P10469,Phone,Electronics,Local Supplier,1293
P10470,Monitor,Electronics,Warehouse Distribution,51
P10471,Cream,Dairy,Local Supplier,963
P10472,Polyester,Textile,Local Supplier,1246
P10473,Pork,Food,Warehouse Distribution,4008
P10474,Milk,Dairy,Manufacturing,1450
P10475,Rayon,Textile,Transport,4442
P10476,Pork,Food,Transport,2855
P10477,Styrofoam,Packaging,Cold Chain,4495
P10478,Car,Transport,Cold Chain,4722
P10479,Conventional Cotton,Textile,Transport,3648
P10480,Flight,Transport,Manufacturing,756
P10481,Laptop,Electronics,Transport,4008
P10482,Conventional Cotton,Textile,Warehouse Distribution,3615
P10483,Plastic Wrap,Packaging,Cold Chain,4603
P10484,Styrofoam,Packaging,Warehouse Distribution,2656
P10485,Laptop,Electronics,Import,2809
P10486,Bag,Plastic,Cold Chain,2101
P10487,Laptop,Electronics,Cold Chain,1623
P10488,Flight,Transport,Local Supplier,962
P10489,Plastic Wrap,Packaging,Manufacturing,2547
P10490,Chicken,Food,Local Supplier,2110
P10491,Pork,Food,Local Supplier,2561
P10492,Phone,Electronics,Manufacturing,3309
P10493,Monitor,Electronics,Warehouse Distribution,4610
P10494,Styrofoam,Packaging,Manufacturing,551
P10495,Straw,Plastic,Transport,365
P10496,Phone,Electronics,Transport,927
P10497,Plastic Wrap,Packaging,Import,1459
P10498,Styrofoam,Packaging,Manufacturing,818
P10499,Plastic Wrap,Packaging,Import,1804
P10500,Processed Food,Food,Transport,4817
